SampleID,CapShape,CapColor,Odor,GillSpacing,GillColor,StalkShape,RingNumber,Habitat,Population,Class
S0394,flat,yellow,none,crowded,pink,enlarging,one,grasses,several,edible
S0395,convex,brown,anise,crowded,pink,tapering,one,woods,scattered,edible
S0396,convex,brown,none,close,brown,tapering,one,paths,abundant,edible
S0397,convex,gray,foul,close,brown,tapering,none,grasses,solitary,poisonous
S0398,convex,red,none,close,white,tapering,one,woods,scattered,edible
S0399,convex,brown,foul,distant,brown,tapering,one,grasses,scattered,poisonous
S0400,flat,brown,anise,crowded,brown,tapering,two,grasses,solitary,edible
S0401,convex,red,foul,close,black,enlarging,one,grasses,solitary,poisonous
S0402,flat,brown,foul,close,brown,tapering,one,urban,several,poisonous
S0403,flat,yellow,almond,close,black,tapering,one,woods,solitary,edible
S0404,flat,yellow,none,close,pink,tapering,one,paths,several,edible
S0405,flat,red,almond,close,green,tapering,one,urban,several,edible
S0406,knobbed,gray,pungent,crowded,white,enlarging,one,woods,scattered,poisonous
S0407,bell,gray,almond,close,pink,tapering,one,woods,scattered,edible
S0408,convex,red,none,distant,black,enlarging,one,woods,several,edible
S0409,flat,yellow,foul,distant,white,tapering,one,woods,solitary,poisonous
S0410,convex,yellow,fishy,close,pink,enlarging,one,woods,several,poisonous
S0411,convex,yellow,none,close,brown,tapering,one,paths,solitary,poisonous
S0412,convex,gray,none,close,black,enlarging,none,grasses,abundant,poisonous
S0413,knobbed,red,almond,crowded,black,tapering,one,woods,several,edible
S0414,convex,white,none,crowded,brown,enlarging,one,paths,several,poisonous
S0415,flat,white,foul,close,brown,enlarging,one,grasses,several,poisonous
S0416,flat,white,foul,close,brown,enlarging,one,paths,solitary,poisonous
S0417,bell,yellow,almond,close,pink,tapering,one,woods,abundant,edible
S0418,flat,white,none,close,brown,tapering,two,woods,scattered,edible
S0419,convex,brown,foul,crowded,brown,enlarging,one,urban,solitary,poisonous
S0420,convex,gray,none,crowded,white,enlarging,two,paths,several,edible
S0421,knobbed,red,foul,close,pink,tapering,one,grasses,several,poisonous
S0422,knobbed,brown,none,crowded,pink,tapering,one,woods,abundant,edible
S0423,convex,gray,none,crowded,white,tapering,one,woods,abundant,poisonous
S0424,flat,gray,none,close,black,tapering,one,woods,several,edible
S0425,flat,brown,pungent,close,white,enlarging,one,woods,solitary,poisonous
S0426,bell,brown,pungent,close,brown,tapering,one,woods,solitary,edible
S0427,convex,white,almond,close,white,enlarging,one,woods,scattered,edible
S0428,bell,yellow,none,crowded,white,enlarging,one,grasses,several,poisonous
S0429,flat,white,none,close,white,enlarging,one,leaves,scattered,edible
S0430,convex,brown,anise,distant,white,enlarging,one,grasses,solitary,edible
S0431,bell,gray,none,close,black,tapering,one,urban,abundant,edible
S0432,knobbed,yellow,almond,close,black,tapering,one,leaves,scattered,edible
S0433,convex,red,none,distant,brown,enlarging,one,leaves,several,poisonous
S0434,flat,white,anise,close,pink,tapering,two,woods,several,edible
S0435,convex,gray,fishy,crowded,brown,enlarging,one,leaves,scattered,poisonous
S0436,flat,gray,pungent,close,green,tapering,one,leaves,several,poisonous
S0437,flat,white,foul,close,black,tapering,one,urban,several,poisonous
S0438,convex,gray,foul,crowded,black,enlarging,one,woods,solitary,poisonous
S0439,bell,yellow,almond,close,black,tapering,one,grasses,scattered,edible
S0440,convex,white,foul,close,white,tapering,one,woods,several,poisonous
S0441,flat,yellow,anise,close,brown,tapering,two,grasses,scattered,edible
S0442,convex,white,foul,close,pink,tapering,one,woods,scattered,poisonous
S0443,knobbed,white,anise,crowded,white,enlarging,one,grasses,solitary,edible
S0444,flat,gray,none,distant,white,tapering,one,grasses,solitary,poisonous
S0445,convex,brown,foul,close,white,tapering,two,grasses,several,poisonous
S0446,knobbed,brown,almond,crowded,pink,enlarging,one,woods,several,edible
S0447,convex,yellow,pungent,close,white,tapering,two,paths,abundant,poisonous
S0448,flat,gray,none,close,black,enlarging,one,woods,solitary,poisonous
S0449,knobbed,brown,none,close,white,tapering,one,grasses,solitary,edible
S0450,convex,white,none,close,brown,enlarging,none,woods,several,edible
S0451,convex,white,anise,close,brown,tapering,one,woods,solitary,edible
S0452,flat,white,pungent,close,brown,enlarging,one,woods,several,poisonous
S0453,bell,brown,pungent,crowded,green,enlarging,one,woods,scattered,poisonous
S0454,convex,brown,none,close,pink,tapering,none,urban,several,edible
S0455,bell,brown,almond,crowded,black,enlarging,one,grasses,scattered,edible
S0456,flat,red,fishy,close,white,enlarging,one,urban,solitary,poisonous
S0457,convex,gray,pungent,close,black,tapering,one,woods,abundant,poisonous
S0458,convex,white,none,close,white,tapering,one,paths,scattered,edible
S0459,convex,gray,none,distant,brown,tapering,one,woods,scattered,edible
S0460,flat,yellow,anise,close,brown,tapering,one,urban,scattered,edible
S0461,convex,gray,none,close,black,tapering,one,woods,scattered,poisonous
S0462,convex,brown,none,close,pink,enlarging,one,woods,solitary,edible
S0463,convex,white,foul,close,green,tapering,two,leaves,scattered,poisonous
S0464,bell,yellow,none,distant,brown,tapering,one,leaves,several,poisonous
S0465,knobbed,brown,anise,close,green,tapering,two,woods,scattered,edible
S0466,flat,gray,almond,crowded,white,tapering,one,paths,abundant,edible
S0467,convex,brown,none,close,pink,tapering,two,urban,several,edible
S0468,flat,gray,none,close,pink,tapering,two,leaves,several,edible
S0469,flat,brown,almond,crowded,black,tapering,one,woods,scattered,poisonous
S0470,bell,red,none,close,white,tapering,one,woods,several,edible
S0471,convex,yellow,anise,crowded,pink,tapering,two,woods,several,edible
S0472,convex,white,fishy,close,pink,tapering,two,paths,solitary,poisonous
S0473,flat,brown,fishy,close,pink,enlarging,one,paths,abundant,poisonous
S0474,convex,white,anise,crowded,white,tapering,two,paths,scattered,edible
S0475,flat,yellow,none,close,brown,tapering,two,woods,scattered,edible
S0476,convex,gray,pungent,distant,pink,enlarging,one,grasses,solitary,poisonous
S0477,flat,white,anise,close,brown,enlarging,one,grasses,solitary,edible
S0478,flat,brown,foul,close,black,tapering,two,woods,several,poisonous
S0479,convex,brown,foul,close,pink,tapering,one,leaves,abundant,poisonous
S0480,bell,yellow,none,crowded,brown,enlarging,one,grasses,several,poisonous
S0481,knobbed,brown,none,crowded,black,tapering,one,paths,several,poisonous
S0482,convex,white,none,close,white,tapering,one,woods,several,edible
S0483,flat,yellow,none,crowded,white,enlarging,one,woods,several,edible
S0484,bell,yellow,pungent,close,brown,enlarging,two,urban,scattered,poisonous
S0485,convex,brown,fishy,crowded,black,enlarging,one,grasses,several,poisonous
S0486,bell,gray,almond,close,black,tapering,one,grasses,several,edible
S0487,convex,brown,none,close,brown,tapering,none,leaves,abundant,poisonous
S0488,bell,brown,none,crowded,white,enlarging,one,woods,solitary,edible
S0489,bell,red,fishy,crowded,pink,tapering,two,grasses,solitary,poisonous
S0490,flat,brown,fishy,distant,black,tapering,one,grasses,solitary,poisonous
S0491,flat,yellow,none,close,brown,tapering,one,grasses,solitary,poisonous
S0492,convex,yellow,anise,close,pink,enlarging,one,paths,several,edible
S0493,flat,brown,almond,close,pink,tapering,none,grasses,scattered,edible
S0494,convex,white,none,close,pink,tapering,one,urban,solitary,edible
S0495,convex,yellow,foul,crowded,white,tapering,one,woods,several,poisonous
S0496,knobbed,red,none,close,brown,tapering,one,woods,several,edible
S0497,knobbed,yellow,fishy,distant,white,tapering,one,woods,abundant,poisonous
S0498,convex,gray,almond,close,brown,enlarging,two,woods,abundant,poisonous
S0499,convex,brown,foul,crowded,black,enlarging,none,woods,solitary,poisonous
S0500,bell,yellow,anise,close,black,enlarging,two,paths,solitary,poisonous
S0501,convex,red,foul,distant,black,enlarging,one,grasses,several,poisonous
S0502,knobbed,yellow,almond,close,green,enlarging,one,paths,scattered,edible
S0503,convex,red,foul,crowded,pink,enlarging,one,leaves,scattered,poisonous
S0504,flat,gray,none,close,green,tapering,one,woods,several,edible
S0505,bell,brown,none,distant,white,enlarging,none,grasses,several,poisonous
S0506,flat,white,anise,close,black,enlarging,one,grasses,several,poisonous
S0507,knobbed,gray,none,crowded,pink,tapering,one,woods,several,edible
S0508,bell,gray,fishy,close,pink,tapering,one,paths,scattered,poisonous
S0509,flat,yellow,none,crowded,white,tapering,one,woods,abundant,poisonous
S0510,flat,brown,none,close,brown,tapering,one,grasses,solitary,poisonous
S0511,flat,yellow,none,close,white,enlarging,one,paths,scattered,poisonous
S0512,bell,red,almond,distant,brown,tapering,one,paths,solitary,poisonous
S0513,flat,gray,none,crowded,black,tapering,one,grasses,several,poisonous
S0514,convex,yellow,almond,close,white,enlarging,one,grasses,solitary,edible
S0515,convex,white,foul,distant,white,tapering,one,urban,solitary,poisonous
S0516,flat,red,none,close,brown,tapering,none,woods,several,poisonous
S0517,convex,red,none,close,black,tapering,two,woods,solitary,poisonous
S0518,convex,brown,none,close,pink,tapering,two,grasses,several,edible
S0519,flat,red,none,close,pink,tapering,one,woods,solitary,edible
S0520,convex,white,almond,close,brown,tapering,one,woods,several,edible
S0521,convex,yellow,none,crowded,white,tapering,one,grasses,several,poisonous
S0522,convex,brown,none,close,brown,enlarging,one,paths,abundant,edible
S0523,flat,white,fishy,close,black,tapering,two,leaves,several,poisonous
S0524,convex,white,fishy,close,white,tapering,one,grasses,abundant,edible
S0525,flat,brown,none,crowded,brown,tapering,one,grasses,solitary,poisonous
S0526,knobbed,gray,foul,crowded,white,enlarging,one,woods,abundant,poisonous
S0527,flat,gray,anise,close,black,tapering,two,grasses,scattered,edible
S0528,flat,red,pungent,crowded,white,tapering,one,grasses,several,poisonous
S0529,convex,white,none,close,brown,tapering,one,leaves,several,poisonous
S0530,flat,yellow,foul,close,pink,tapering,one,woods,several,poisonous
S0531,knobbed,red,foul,crowded,brown,enlarging,one,woods,several,poisonous
S0532,knobbed,white,pungent,close,white,tapering,one,grasses,solitary,poisonous
S0533,convex,white,pungent,crowded,brown,enlarging,none,leaves,scattered,poisonous
S0534,flat,gray,foul,crowded,pink,enlarging,one,urban,several,poisonous
S0535,convex,white,none,close,pink,enlarging,two,leaves,scattered,edible
S0536,flat,red,foul,close,black,tapering,one,grasses,several,poisonous
S0537,flat,gray,none,close,white,enlarging,two,urban,several,poisonous
S0538,convex,gray,anise,crowded,white,tapering,one,woods,solitary,edible
S0539,convex,brown,none,close,white,enlarging,one,grasses,abundant,edible
S0540,flat,white,none,close,pink,tapering,one,woods,several,poisonous
S0541,convex,brown,none,close,brown,tapering,one,leaves,scattered,poisonous
S0542,convex,red,none,close,black,enlarging,none,paths,solitary,poisonous
S0543,bell,gray,almond,close,black,enlarging,one,woods,several,edible
S0544,convex,brown,pungent,crowded,brown,tapering,none,woods,scattered,poisonous
S0545,bell,brown,anise,crowded,black,enlarging,one,woods,solitary,edible
S0546,convex,brown,none,close,pink,tapering,one,grasses,several,poisonous
S0547,bell,red,none,close,white,tapering,none,paths,several,poisonous
S0548,flat,yellow,anise,crowded,white,enlarging,one,grasses,several,poisonous
S0549,flat,brown,pungent,crowded,black,tapering,two,grasses,solitary,poisonous
S0550,convex,brown,foul,close,white,tapering,one,grasses,scattered,poisonous
S0551,bell,white,none,close,black,enlarging,one,grasses,scattered,poisonous
S0552,convex,gray,fishy,close,brown,tapering,one,grasses,several,poisonous
S0553,flat,gray,almond,crowded,white,tapering,one,paths,abundant,edible
S0554,convex,gray,none,close,green,tapering,two,grasses,abundant,poisonous
S0555,knobbed,brown,almond,close,pink,tapering,one,grasses,several,edible
S0556,flat,gray,anise,close,white,tapering,one,leaves,abundant,edible
S0557,flat,brown,foul,distant,pink,enlarging,one,grasses,scattered,poisonous
S0558,flat,gray,fishy,crowded,brown,enlarging,one,grasses,several,poisonous
S0559,convex,brown,none,close,black,enlarging,one,urban,solitary,edible
S0560,flat,gray,none,distant,pink,enlarging,none,urban,scattered,poisonous
S0561,bell,white,almond,close,pink,enlarging,one,woods,several,edible
S0562,flat,brown,anise,close,white,tapering,one,woods,scattered,edible
S0563,flat,gray,none,close,pink,tapering,one,grasses,several,edible
S0564,convex,brown,anise,close,white,enlarging,two,grasses,scattered,edible
S0565,knobbed,white,none,crowded,pink,tapering,one,grasses,several,poisonous
S0566,convex,gray,none,crowded,black,tapering,one,woods,several,poisonous
S0567,flat,white,foul,crowded,pink,tapering,one,grasses,several,poisonous
S0568,bell,brown,foul,crowded,white,enlarging,one,paths,several,poisonous
S0569,convex,brown,foul,crowded,black,enlarging,two,grasses,solitary,poisonous
S0570,flat,brown,fishy,close,black,enlarging,one,paths,several,poisonous
S0571,flat,brown,anise,distant,black,enlarging,one,urban,several,edible
S0572,flat,brown,foul,close,pink,enlarging,one,urban,solitary,poisonous
S0573,flat,gray,none,close,black,enlarging,one,grasses,several,poisonous
S0574,flat,brown,none,close,pink,enlarging,none,grasses,several,poisonous
S0575,bell,red,pungent,distant,white,tapering,one,urban,several,poisonous
S0576,flat,white,almond,crowded,black,tapering,one,grasses,solitary,edible
S0577,flat,brown,almond,close,white,enlarging,one,grasses,scattered,edible
S0578,convex,brown,none,close,white,tapering,two,grasses,several,poisonous
S0579,flat,yellow,fishy,close,brown,enlarging,two,woods,solitary,poisonous
S0580,bell,brown,none,crowded,black,tapering,one,urban,abundant,poisonous
S0581,flat,white,none,distant,white,tapering,one,grasses,abundant,poisonous
S0582,flat,white,none,close,black,enlarging,one,paths,solitary,edible
S0583,knobbed,gray,none,close,black,tapering,two,grasses,scattered,edible
S0584,flat,gray,none,close,pink,enlarging,one,grasses,scattered,poisonous
S0585,knobbed,red,anise,close,green,tapering,two,urban,several,edible
S0586,convex,yellow,foul,close,green,enlarging,one,urban,scattered,poisonous
S0587,flat,red,none,distant,black,enlarging,none,paths,several,poisonous
S0588,knobbed,gray,almond,close,pink,tapering,one,leaves,solitary,edible
S0589,flat,white,anise,close,black,tapering,two,grasses,several,poisonous
S0590,convex,brown,pungent,close,brown,tapering,one,woods,several,poisonous
S0591,bell,white,anise,close,black,enlarging,one,woods,several,edible
S0592,convex,brown,none,distant,black,tapering,one,woods,abundant,edible
S0593,bell,white,none,close,pink,tapering,one,paths,scattered,edible
S0594,flat,white,none,close,black,enlarging,one,woods,solitary,edible
S0595,flat,gray,none,close,black,enlarging,one,woods,scattered,poisonous
S0596,convex,yellow,anise,crowded,brown,enlarging,one,leaves,scattered,edible
S0597,flat,brown,almond,close,pink,enlarging,two,urban,solitary,edible
S0598,bell,white,anise,close,black,tapering,one,leaves,scattered,edible
S0599,convex,white,none,distant,white,enlarging,one,woods,abundant,edible
S0600,flat,white,foul,close,pink,enlarging,one,leaves,abundant,poisonous
